word,german
abendkleid,1
abendkleider,1
abendkleidern,1
abendkleides,1
abendkurs,1
abendkurse,1
abendkurses,1
abendland,1
abendlandes,1
abendlandisch,1
abendlandische,1
abendlandischem,1
abendlandischen,1
abendlandischer,1
abendlandisches,1
abendlich,1
abendlichem,1
abendlichen,1
abendlicher,1
abendmahls,1
abendnachrichten,1
abendprogramm,1
abendprogramms,1
abendrot,1
abendrote,1
abendrotes,1
abends,1
abendschau,1
abendschuhe,1
abendschulen,1
abendsonne,1
abendsonnen,1
abendspaziergang,1
abendspazierganges,1
abendstern,1
abendsterne,1
abendsternen,1
abendsternes,1
abendstudio,1
abendunterhaltung,1
abendunterhaltungen,1
abendunterricht,1
abendvorstellung,1
abendwind,1
abendwinde,1
abendzeitung,1
abendzeitungen,1
abenteuer,1
abenteuerfilm,1
abenteuerlich,1
abenteuerliche,1
abenteuerlichen,1
abenteuerlicher,1
abenteuerliches,1
abenteuerlichsten,1
abenteuerlichster,1
abenteuerlust,1
abenteuern,1
abenteuers,1
abenteurer,1
abenteurerinnen,1
abenteurern,1
abenteurers,1
aber,1
aberdeen,1
aberglaube,1
aberglauben,1
aberglaubisch,1
aberglaubischem,1
aberglaubischen,1
aberglaubischer,1
aberkannt,1
aberkannte,1
aberkanntem,1
aberkannter,1
aberkanntes,1
aberkennen,1
aberkennung,1
aberkennungen,1
abermalig,1
abermalige,1
abermaligem,1
abermaliger,1
abermaliges,1
abermals,1
aberntend,1
aberntende,1
aberntendem,1
aberntender,1
aberntendes,1
abertausende,1
aberwitz,1
abessen,1
abessinien,1
abessinischen,1
abfackeln,1
abfackelnde,1
abfackelnden,1
abfackelt,1
abfackelte,1
abfackelten,1
abfahren,1
abfahrend,1
abfahrende,1
abfahrendem,1
abfahrenden,1
abfahrender,1
abfahrt,1
abfahrten,1
abfahrtshang,1
abfahrtslaufer,1
abfahrtslauferinnen,1
abfahrtsrennen,1
abfahrtsstelle,1
abfahrtsstrecke,1
abfall,1
abfallaufbereitung,1
abfallbehalter,1
abfalle,1
abfalleimer,1
abfalleimern,1
abfallen,1
abfallend,1
abfallende,1
abfallenden,1
abfallender,1
abfallendes,1
abfallgraben,1
abfallgrube,1
abfallig,1
abfallige,1
abfalligem,1
abfalligen,1
abfalliger,1
abfalligerem,1
abfalligeren,1
abfalligerer,1
abfalliges,1
abfalligste,1
abfalligstem,1
abfalligster,1
abfalligstes,1
abfallpapier,1
abfallprodukt,1
abfallprodukte,1
abfallprodukten,1
abfallproduktes,1
abfalls,1
abfallstoffe,1
abfallt,1
abfalschen,1
abfalscht,1
abfalschte,1
abfalschten,1
abfangen,1
abfangend,1
abfangende,1
abfangendem,1
abfangenden,1
abfangender,1
abfangendes,1
abfangjager,1
abfangrakete,1
abfangt,1
abfarben,1
abfarbend,1
abfarbende,1
abfarbenden,1
abfarbender,1
abfarbendes,1
abfarbt,1
abfarbte,1
abfarbten,1
abfassen,1
abfassende,1
abfassendem,1
abfassenden,1
abfassendes,1
abfasst,1
abfassungen,1
abfaulen,1
abfaulend,1
abfaulendem,1
abfaulenden,1
abfaulender,1
abfault,1
abfaulte,1
abfaulten,1
abfedern,1
abfedert,1
abfederte,1
abfederten,1
abfeiern,1
abfeiert,1
abfeierte,1
abfeierten,1
abfeilen,1
abfeilend,1
abfeilende,1
abfeilenden,1
abfeilender,1
abfeilendes,1
abfeilt,1
abfeilte,1
abfeilten,1
abfertigen,1
abfertigend,1
abfertigende,1
abfertigendem,1
abfertigenden,1
abfertigender,1
abfertigendes,1
abfertigt,1
abfertigte,1
abfertigten,1
abfertigung,1
abfertigungen,1
abfertigungsschalter,1
abfertigungsstelle,1
abfertigungsstellen,1
abfeuern,1
abfeuernde,1
abfeuerndem,1
abfeuernden,1
abfeuerndes,1
abfeuert,1
abfeuerte,1
abfeuerten,1
abfinden,1
abfindet,1
abfindungen,1
abfing,1
abflachen,1
abflachend,1
abflachendem,1
abflachenden,1
abflachender,1
abflachte,1
abflachung,1
abflachungen,1
abflauen,1
abflauend,1
abflauende,1
abflauendem,1
abflauenden,1
abflauender,1
abflaut,1
abflaute,1
abflauten,1
abfliegen,1
abfliegend,1
abfliegende,1
abfliegendem,1
abfliegenden,1
abfliegender,1
abfliegendes,1
abfliessen,1
abfliessend,1
abfliessende,1
abfliessenden,1
abfliessender,1
abfliessendes,1
abflog,1
abflug,1
abfluge,1
abflugen,1
abflugflughafen,1
abflugland,1
abflugs,1
abfluss,1
abflussen,1
abflusses,1
abflussrohr,1
abfolge,1
abfordern,1
abfordernde,1
abforderndem,1
abfordernden,1
abforderndes,1
abfotografieren,1
abfrage,1
abfragen,1
abfragt,1
abfragte,1
abfragten,1
abfressen,1
abfrieren,1
abfriert,1
abfuhr,1
abfuhren,1
abfuhrend,1
abfuhrende,1
abfuhrendem,1
abfuhrender,1
abfuhrendes,1
abfuhrmittel,1
abfuhrmitteln,1
abfuhrt,1
abfuhrte,1
abfuhrten,1
abfuhrung,1
abfullanlage,1
abfullanlagen,1
abfullen,1
abfullend,1
abfullende,1
abfullendem,1
abfullenden,1
abfullender,1
abfullendes,1
abfullfilialen,1
abfullstation,1
abfullt,1
abfullte,1
abfullten,1
abfullung,1
abfuttern,1
abfutternde,1
abfutterndem,1
abfutternden,1
abfutterndes,1
abgab,1
abgabe,1
abgabebereitschaft,1
abgabedruck,1
abgaben,1
abgabepreise,1
abgaberaten,1
abgabesachen,1
abgang,1
abgange,1
abgangs,1
abgangszeugnis,1
abgangszeugnissen,1
abgangszeugnisses,1
abgas,1
abgase,1
abgasen,1
abgasentgiftung,1
abgases,1
abgeanderte,1
abgeandertem,1
abgeanderten,1
abgeandertes,1
abgearbeitet,1
abgearbeitete,1
abgearbeiteten,1
abgearbeiteter,1
abgearbeitetes,1
abgebalgte,1
abgebalgtem,1
abgebalgter,1
abgebalgtes,1
abgebaut,1
abgebaute,1
abgebauten,1
abgebauter,1
abgebautes,1
abgebe,1
abgeben,1
abgebend,1
abgebende,1
abgebenden,1
abgebender,1
abgebendes,1
abgebettelte,1
abgebetteltem,1
abgebettelten,1
abgebetteltes,1
abgebildet,1
abgebildete,1
abgebildeten,1
abgebildeter,1
abgebildetes,1
abgebissen,1
abgebissene,1
abgebissenem,1
abgebissener,1
abgebissenes,1
abgeblasen,1
abgeblasene,1
abgeblasenem,1
abgeblasener,1
abgeblasenes,1
abgeblattert,1
abgeblattertem,1
abgeblatterten,1
abgeblatterter,1
abgeblendet,1
abgeblendetem,1
abgeblendeten,1
abgeblendeter,1
abgeblitzt,1
abgeblitzte,1
abgeblitztem,1
abgeblitzter,1
abgeblitztes,1
abgebogen,1
abgebogenem,1
abgebogenen,1
abgebogener,1
abgebracht,1
abgebrachte,1
abgebrachtem,1
abgebrachter,1
abgebrachtes,1
abgebrannt,1
abgebrannte,1
abgebranntem,1
abgebrannten,1
abgebrannter,1
abgebraust,1
abgebrauste,1
abgebraustem,1
abgebrauster,1
abgebraustes,1
abgebremst,1
abgebremstem,1
abgebremsten,1
abgebremster,1
abgebrochen,1
abgebrochene,1
abgebrochenem,1
abgebrochenen,1
abgebrochener,1
abgebrochenes,1
abgebrockelt,1
abgebrockelte,1
abgebrockeltem,1
abgebrockelter,1
abgebrockeltes,1
abgebruht,1
abgebruhtem,1
abgebruhten,1
abgebruhter,1
abgebt,1
abgebucht,1
abgebuchtem,1
abgebuchten,1
abgebuchter,1
abgebunden,1
abgebundene,1
abgebundenem,1
abgebundenen,1
abgebundener,1
abgebundenes,1
abgeburstete,1
abgeburstetem,1
abgebursteten,1
abgeburstetes,1
abgedankt,1
abgedanktem,1
abgedankten,1
abgedankter,1
abgedeckt,1
abgedeckte,1
abgedecktem,1
abgedeckter,1
abgedecktes,1
abgedichtet,1
abgedichtete,1
abgedichtetem,1
abgedichteten,1
abgedichteter,1
abgedichtetes,1
abgedient,1
abgediente,1
abgedientem,1
abgedienter,1
abgedientes,1
abgedrangt,1
abgedreht,1
abgedrehte,1
abgedrehten,1
abgedrehter,1
abgedrehtes,1
abgedroschen,1
abgedroschene,1
abgedroschenen,1
abgedrosselt,1
abgedrosselte,1
abgedrosseltem,1
abgedrosselter,1
abgedrosseltes,1
abgedruckt,1
abgedruckte,1
abgedrucktem,1
abgedruckten,1
abgedruckter,1
abgedrucktes,1
abgeerntet,1
abgeerntete,1
abgeerntetem,1
abgeernteter,1
abgeerntetes,1
abgefackeltem,1
abgefackelter,1
abgefackeltes,1
abgefahrene,1
abgefahrenem,1
abgefahrenen,1
abgefahrenes,1
abgefallen,1
abgefallene,1
abgefallenen,1
abgefallener,1
abgefallenes,1
abgefangene,1
abgefangenem,1
abgefangenen,1
abgefangenes,1
abgefarbt,1
abgefasst,1
abgefasste,1
abgefassten,1
abgefasster,1
abgefasstes,1
abgefault,1
abgefaulte,1
abgefaulten,1
abgefaulter,1
abgefaultes,1
abgefeilte,1
abgefeiltem,1
abgefeilten,1
abgefeiltes,1
abgefeimt,1
abgefeimten,1
abgefertigte,1
abgefertigtem,1
abgefertigten,1
abgefertigtes,1
abgefeuert,1
abgefeuerte,1
abgefeuerten,1
abgefeuerter,1
abgefeuertes,1
abgeflachtem,1
abgeflachten,1
abgeflachter,1
abgeflaut,1
abgeflaute,1
abgeflautem,1
abgeflauter,1
abgeflautes,1
abgeflogen,1
abgeflogenem,1
abgeflogenen,1
abgeflogener,1
abgeflossen,1
abgeflossene,1
abgeflossenem,1
abgeflossener,1
abgeflossenes,1
abgefordert,1
abgefordertem,1
abgeforderten,1
abgeforderter,1
abgeformtem,1
abgeformten,1
abgeformter,1
abgefragt,1
abgefragte,1
abgefragtem,1
abgefragten,1
abgefragter,1
abgefragtes,1
abgefuhrt,1
abgefuhrte,1
abgefuhrtem,1
abgefuhrter,1
abgefuhrtes,1
abgefullt,1
abgefulltem,1
abgefullten,1
abgefullter,1
abgefunden,1
abgefutterte,1
abgefuttertem,1
abgefutterten,1
abgefuttertes,1
abgegangene,1
abgegangenem,1
abgegangenen,1
abgegeben,1
abgegebene,1
abgegebenem,1
abgegebenen,1
abgegebener,1
abgegebenes,1
abgeglitten,1
abgeglittenem,1
abgeglittenen,1
abgeglittener,1
abgegolten,1
abgegossen,1
abgegossene,1
abgegossenen,1
abgegossener,1
abgegossenes,1
abgegrabene,1
abgegrabenem,1
abgegrabenen,1
abgegrabenes,1
abgegrast,1
abgegrenzt,1
abgegrenztem,1
abgegrenzten,1
abgegrenzter,1
abgegriffen,1
abgegriffene,1
abgegriffenem,1
abgegriffener,1
abgegriffenes,1
abgehackt,1
abgehackte,1
abgehackten,1
abgehackter,1
abgehacktes,1
abgehalten,1
abgehaltene,1
abgehaltenem,1
abgehaltenen,1
abgehaltener,1
abgehaltenes,1
abgehandelt,1
abgehangt,1
abgeharmt,1
abgehartet,1
abgehartete,1
abgehartetem,1
abgeharteten,1
abgeharteter,1
abgehartetes,1
abgehauene,1
abgehauenem,1
abgehauenen,1
abgehauenes,1
abgehe,1
abgeheilt,1
abgeheiltem,1
abgeheilten,1
abgeheilter,1
abgehen,1
abgehend,1
abgehende,1
abgehenden,1
abgehender,1
abgehendes,1
abgehetzt,1
abgehetzte,1
abgehetztem,1
abgehetzten,1
abgehetzter,1
abgehetztes,1
abgehoben,1
abgehobene,1
abgehobenen,1
abgehobener,1
abgehobenes,1
abgeholt,1
abgeholte,1
abgeholtem,1
abgeholter,1
abgeholtes,1
abgeholzt,1
abgehorchte,1
abgehorchtem,1
abgehorchten,1
abgehorchtes,1
abgehorte,1
abgehortem,1
abgehorten,1
abgehortes,1
abgeht,1
abgeizte,1
abgeizten,1
abgejagt,1
abgejagtem,1
abgejagten,1
abgejagter,1
abgekampft,1
abgekampfte,1
abgekampftem,1
abgekampften,1
abgekampfter,1
abgekampftes,1
abgekartet,1
abgekartetes,1
abgekauft,1
abgekauftem,1
abgekauften,1
abgekaufter,1
abgekehrt,1
abgekehrte,1
abgekehrtem,1
abgekehrter,1
abgekehrtes,1
abgeklappert,1
abgeklapperte,1
abgeklappertem,1
abgeklapperter,1
abgeklappertes,1
abgeklart,1
abgeklartem,1
abgeklarten,1
abgeklarter,1
abgeklemmt,1
abgeklemmtem,1
abgeklemmten,1
abgeklemmter,1
abgeklopft,1
abgeklopfte,1
abgeklopftem,1
abgeklopfter,1
abgeklopftes,1
abgeklungen,1
abgeklungenem,1
abgeklungenen,1
abgeklungener,1
abgeknabbert,1
abgeknabberte,1
abgeknabbertem,1
abgeknabberter,1
abgeknabbertes,1
abgeknallt,1
abgeknalltem,1
abgeknallten,1
abgeknallter,1
abgeknickt,1
abgeknickte,1
abgeknicktem,1
abgeknickter,1
abgeknicktes,1
abgeknipster,1
abgekocht,1
abgekochtem,1
abgekochten,1
abgekochter,1
abgekommen,1
abgekoppelt,1
abgekoppelte,1
abgekoppelten,1
abgekoppelter,1
abgekoppeltes,1
abgekratzte,1
abgekratztem,1
abgekratzten,1
abgekratztes,1
abgekriegt,1
abgekriegte,1
abgekriegten,1
abgekriegter,1
abgekriegtes,1
abgekuhlt,1
abgekuhlte,1
abgekuhltem,1
abgekuhlter,1
abgekuhltes,1
abgekurzt,1
abgekurztem,1
abgekurzten,1
abgekurzter,1
abgekusst,1
abgekusstem,1
abgekussten,1
abgekusster,1
abgeladene,1
abgeladenem,1
abgeladenen,1
abgeladenes,1
abgelagert,1
abgelagerte,1
abgelagerten,1
abgelagerter,1
abgelagertes,1
abgelassene,1
abgelassenem,1
abgelassenen,1
abgelassenes,1
abgelaufen,1
abgelaufene,1
abgelaufenen,1
abgelaufener,1
abgelaufenes,1
abgeleckt,1
abgeleckte,1
abgelecktem,1
abgeleckter,1
abgelecktes,1
abgelegen,1
abgelegene,1
abgelegenem,1
abgelegenen,1
abgelegener,1
abgelegenes,1
abgelegt,1
abgelegte,1
abgelegtem,1
abgelegten,1
abgelegter,1
abgelegtes,1
abgelehnt,1
abgelehnte,1
abgelehntem,1
abgelehnten,1
abgelehnter,1
abgeleistet,1
abgeleistete,1
abgeleistetem,1
abgeleisteter,1
abgeleistetes,1
abgeleitet,1
abgeleitetem,1
abgeleiteten,1
abgeleiteter,1
abgelenkt,1
abgelenkte,1
abgelenktem,1
abgelenkter,1
abgelenktes,1
abgelesen,1
abgelesenem,1
abgelesenen,1
abgelesener,1
abgeleugnet,1
abgeleugnete,1
abgeleugnetem,1
abgeleugneter,1
abgeleugnetes,1
abgeliefert,1
abgeliefertem,1
abgelieferten,1
abgelieferter,1
abgeloschte,1
abgeloschtem,1
abgeloschten,1
abgeloschtes,1
abgelost,1
abgeloste,1
abgelosten,1
abgeloster,1
abgelostes,1
abgeltet,1
abgeltung,1
abgemacht,1
abgemachte,1
abgemachtem,1
abgemachten,1
abgemachter,1
abgemagert,1
abgemagerte,1
abgemagertem,1
abgemagerten,1
abgemagerter,1
abgemagertes,1
abgemahte,1
abgemahtem,1
abgemahter,1
abgemahtes,1
abgemeldet,1
abgemeldetem,1
abgemeldeten,1
abgemeldeter,1
abgemessen,1
abgemessene,1
abgemessenem,1
abgemessener,1
abgemessenes,1
abgemildert,1
abgemildertem,1
abgemilderten,1
abgemilderter,1
abgemuht,1
abgemustert,1
abgemusterte,1
abgemustertem,1
abgemusterter,1
abgemustertes,1
abgenabelt,1
abgenagte,1
abgenagtem,1
abgenagten,1
abgenagtes,1
abgeneigt,1
abgeneigte,1
abgeneigtem,1
abgeneigten,1
abgeneigter,1
abgeneigtes,1
abgenommen,1
abgenommenem,1
abgenommenen,1
abgenommener,1
abgenotigt,1
abgenotigtem,1
abgenotigten,1
abgenotigter,1
abgenutzt,1
abgenutzte,1
abgenutztem,1
abgenutzten,1
abgenutzter,1
abgenutztes,1
abgeordnete,1
abgeordnetem,1
abgeordneten,1
abgeordnetenausweis,1
abgeordnetenbanken,1
abgeordnetengruppe,1
abgeordnetenhaus,1
abgeordnetenmandat,1
abgeordneter,1
abgeordnetes,1
abgepasst,1
abgepasste,1
abgepassten,1
abgepasster,1
abgepasstes,1
abgepfiffen,1
abgepfiffene,1
abgepfiffenen,1
abgepfiffener,1
abgepfiffenes,1
abgepfluckte,1
abgepflucktem,1
abgepfluckten,1
abgepflucktes,1
abgeplagt,1
abgeprallt,1
abgepralltem,1
abgeprallten,1
abgeprallter,1
abgeputzt,1
abgeputzte,1
abgeputztem,1
abgeputzter,1
abgeputztes,1
abgequalt,1
abgequaltem,1
abgequalten,1
abgequalter,1
abgequetscht,1
abgequetschte,1
abgequetschtem,1
abgequetschter,1
abgequetschtes,1
abgerackert,1
abgeraten,1
abgeratenem,1
abgeratenen,1
abgeratener,1
abgeraumt,1
abgeraumtem,1
abgeraumten,1
abgeraumter,1
abgerechnet,1
abgerechnete,1
abgerechnetem,1
abgerechneter,1
abgerechnetes,1
abgereist,1
abgereistem,1
abgereisten,1
abgereister,1
abgerichtet,1
abgerichtete,1
abgerichtetem,1
abgerichteter,1
abgerichtetes,1
abgerieben,1
abgeriebenem,1
abgeriebenen,1
abgeriebener,1
abgeriegelt,1
abgeriegelte,1
abgeriegeltem,1
abgeriegelter,1
abgeriegeltes,1
abgerissen,1
abgerissenem,1
abgerissenen,1
abgerissener,1
abgerollt,1
abgerollte,1
abgerolltem,1
abgerollter,1
abgerolltes,1
abgeruckt,1
abgeruckte,1
abgerucktem,1
abgeruckter,1
abgerucktes,1
abgerufen,1
abgerufene,1
abgerufenen,1
abgerundet,1
abgerundete,1
abgerundetem,1
abgerundeten,1
abgerundeter,1
abgerundetes,1
abgerungen,1
abgerustet,1
abgerustetem,1
abgerusteten,1
abgerusteter,1
abgerutschte,1
abgerutschtem,1
abgerutschten,1
abgerutschtes,1
abgesackte,1
abgesacktem,1
abgesackten,1
abgesacktes,1
abgesagt,1
abgesagte,1
abgesagten,1
abgesagter,1
abgesagtes,1
abgesandt,1
abgesandte,1
abgesandtem,1
abgesandten,1
abgesandtes,1
abgesaugt,1
abgesaugte,1
abgesaugten,1
abgesaugter,1
abgesaugtes,1
abgeschabte,1
abgeschabtem,1
abgeschabten,1
abgeschabtes,1
abgeschafft,1
abgeschaffte,1
abgeschafften,1
abgeschaffter,1
abgeschafftes,1
abgeschaltet,1
abgeschaltete,1
abgeschaltetem,1
abgeschalteten,1
abgeschalteter,1
abgeschaltetes,1
abgeschattetem,1
abgeschatteter,1
abgeschattetes,1
abgeschatzte,1
abgeschatztem,1
abgeschatzten,1
abgeschatztes,1
abgeschickt,1
abgeschickte,1
abgeschickten,1
abgeschickter,1
abgeschicktes,1
abgeschiedene,1
abgeschiedenem,1
abgeschiedenen,1
abgeschiedenes,1
abgeschiedenheit,1
abgeschirmt,1
abgeschirmte,1
abgeschirmten,1
abgeschirmter,1
abgeschirmtes,1
abgeschlachtete,1
abgeschlachtetem,1
abgeschlachteten,1
abgeschlachtetes,1
abgeschlaffte,1
abgeschlagen,1
abgeschlagenem,1
abgeschlagenen,1
abgeschlagener,1
abgeschleckt,1
abgeschleppt,1
abgeschleppte,1
abgeschleppten,1
abgeschleppter,1
abgeschlepptes,1
abgeschliffene,1
abgeschliffenem,1
abgeschliffenen,1
abgeschliffenes,1
abgeschlossen,1
abgeschlossene,1
abgeschlossenem,1
abgeschlossenen,1
abgeschlossener,1
abgeschlossenes,1
abgeschlossenheit,1
abgeschmackt,1
abgeschmacktem,1
abgeschmackten,1
abgeschmackter,1
abgeschmackteste,1
abgeschmacktestem,1
abgeschmacktesten,1
abgeschmacktestes,1
abgeschmettert,1
abgeschmiert,1
abgeschmierte,1
abgeschmierten,1
abgeschmierter,1
abgeschmiertes,1
abgeschminkte,1
abgeschminkten,1
abgeschminkter,1
abgeschmolzen,1
abgeschmolzene,1
abgeschmolzenem,1
abgeschmolzener,1
abgeschmolzenes,1
abgeschnitten,1
abgeschnittene,1
abgeschnittenem,1
abgeschnittenen,1
abgeschnittener,1
abgeschnittenes,1
abgeschnurt,1
abgeschnurtem,1
abgeschnurten,1
abgeschnurter,1
abgeschoben,1
abgeschobenem,1
abgeschobenen,1
abgeschobener,1
abgeschopft,1
abgeschopfte,1
abgeschopften,1
abgeschopfter,1
abgeschopftes,1
abgeschorene,1
abgeschorenen,1
abgeschorener,1
abgeschorenes,1
abgeschossen,1
abgeschossene,1
abgeschossenem,1
abgeschossener,1
abgeschossenes,1
abgeschragt,1
abgeschragtem,1
abgeschragten,1
abgeschragter,1
abgeschraubt,1
abgeschraubte,1
abgeschraubtem,1
abgeschraubter,1
abgeschraubtes,1
abgeschreckt,1
abgeschrecktem,1
abgeschreckten,1
abgeschreckter,1
abgeschrieben,1
abgeschriebene,1
abgeschriebenem,1
abgeschriebener,1
abgeschriebenes,1
abgeschritten,1
abgeschrittenem,1
abgeschrittenen,1
abgeschrittener,1
abgeschuftet,1
abgeschurfte,1
abgeschurftem,1
abgeschurften,1
abgeschurftes,1
abgeschuttelt,1
abgeschuttelte,1
abgeschuttelten,1
abgeschuttelter,1
abgeschutteltes,1
abgeschwacht,1
abgeschwachtem,1
abgeschwachten,1
abgeschwachter,1
abgeschwachtes,1
abgeschweift,1
abgeschweifte,1
abgeschweiften,1
abgeschweifter,1
abgeschweiftes,1
abgeschwenkte,1
abgeschwenktem,1
abgeschwenkten,1
abgeschwenktes,1
abgeschworen,1
abgesegelte,1
abgesegeltem,1
abgesegelten,1
abgesegnet,1
abgesehen,1
abgeseift,1
abgeseiftem,1
abgeseiften,1
abgeseifter,1
abgeseilt,1
abgeseilte,1
abgeseiltem,1
abgeseilten,1
abgeseilter,1
abgeseiltes,1
abgesendet,1
abgesessene,1
abgesessenem,1
abgesessenen,1
abgesessenes,1
abgesetzt,1
abgesetzte,1
abgesetzten,1
abgesetzter,1
abgesetztes,1
abgesichert,1
abgesicherte,1
abgesichertem,1
abgesicherten,1
abgesicherter,1
abgesichertes,1
abgesondert,1
abgesonderte,1
abgesonderten,1
abgesonderter,1
abgesondertere,1
abgesonderteren,1
abgesonderterer,1
